Question,Answer
سینٹی میٹر کے پی کے سینٹی میٹر؟,پرویز خٹک کشمیر کے پی کے وزیر اعظم ہیں
زندگی کا مطلب کیا ہے؟,جدوجہد کے لئے
پاکستان کے مشہور قومی ہیرو,قائداعظم پاکستان کے مشہور قومی ہیرو ہیں
چاچا مجبور,مجھے افسوس ہے کہ میں نہیں جانتا، براہ مہربانی زیادہ مخصوص رہیں
جب پاکستان خود مختار ہو؟,14 اگست 1947 کو
پاکستان میں جس جگہ زیادہ عام پھل موجود ہے اس میں؟,پنجاب میں
میرا ناممکن,مجھے افسوس ہے کہ میں نہیں جانتا، براہ مہربانی زیادہ مخصوص رہیں
پاکستان کی قومی زبان کیا ہے؟,اردو پاکستان کی قومی زبان ہے
پاکستان میں ڈیم,مجھے افسوس ہے کہ میں نہیں جانتا، براہ مہربانی زیادہ مخصوص رہیں
پاکستان کی آزادی کا دن؟,14 اگست 1947 پاکستان کی آزادی کا دن ہے
پاکستان میں بہترین یونیورسٹی کیا ہے,نوک بہترین یونیورسٹی ہے
پریشانیاں,میرے پاس کچھ نہیں ہے، چلو کچھ بات چیت کرتے ہیں
پاکستان میں کتنے واقعات ہوتے ہیں؟,کیا یہ مذہبی ثقافتی سماجی ہے یا کسی اور؟
پاکستان میں توانائی بحران,کم سے کم ڈیموں کی وجہ سے
جب طیارہ مارجلا واقعہ سے گزر گیا تو؟,مجھے افسوس ہے کہ میں نہیں جانتا، براہ مہربانی زیادہ مخصوص رہیں
پاکستان,آپ کے سوال کے بارے میں مخصوص ہونا
پاکستان کا کونسا لباس ہے؟,شلوارکمیز پاکستان کا قومی لباس ہے
زمبابوے ڈالر,اس سے اپ کا کیا مطلب ہے
کونسا ملک پاکستان کے ساتھ بہترین تعلقات رکھتا ہے؟,چین
بنیادی طور پر برآمد پاکستان,مشینری پاکستان کا بنیادی برآمد ہے
پاکستان میں تفریح,اس سے اپ کا کیا مطلب ہے
اچھا ہو گی,ٹھیک ہے
ہم کس طرح ترقی پذیر ملک پاکستان کر سکتے ہیں؟,اچھے رہنماؤں کو منتخب کرکے
پاکستان کی قومی لباس کیا ہے؟,شلوارکمیز پاکستان کا قومی لباس ہے
پاکستان کے موجودہ مالیاتی وزیر کا نام؟,اسحاق ڈار پاکستان کے موجودہ مالیاتی وزیر ہیں
تفریحی صنعتوں کی موجودہ صورتحال کیا ہے,یہ بہت اچھا نہیں ہے
پاکستان میں کتنے ٹھوس چل رہے ہیں؟,مجھے افسوس ہے کہ میں نہیں جانتا، براہ مہربانی زیادہ مخصوص رہیں
لاہور کا قومی لباس؟,آپ کے سوال کے بارے میں مخصوص ہونا
پاکستان کے قومی شکایات کا نام کیا ہے؟,آپ کا سوال کوئی احساس نہیں ہے
پاکستان کے پڑوسی؟,افغانستان انڈیا ایران چین اور بھارت پاکستان کے پڑوسی ہیں
پاکستان میں یہ بت 113206 کیا ہے؟,مجھے افسوس ہے کہ میں نہیں جانتا، براہ مہربانی زیادہ مخصوص رہیں
پاکستان کے پڑوسی ملک؟,افغانستان انڈیا ایران چین اور بھارت پاکستان کے پڑوسی ہیں
پاکستان میں سب سے طویل دریا؟,سندھ دریا
کون نے قومی گندگی لکھا؟,حفیظ جلندر
عائشہ میں آپ سے محبت کرتا ہوں,میں بھی اپ سے محبت کرتا ہوں
قومی کھیل,ہاکی پاکستان کا قومی کھیل ہے
قومی کھیلوں,ہاکی پاکستان کا قومی کھیل ہے
قومی شاعر کون ہے,محمد اقبال
پاکستان کا سب سے بڑا شہر,کراچی پاکستان کا سب سے بڑا شہر ہے
پاکستان کا کیا مطلب ہے؟,خدا نہیں بلکہ خدا
بہترین کرکٹ کھلاڑی,یونس خان، عمران خان، خوف میں ہے
پہلے وزیر اعظم,لیاقت علی خان پاکستان کا پہلا ہفتہ ہے
عمران خان؟,سیاستدان اب پاکستان کے سابق کرکٹر ہیں
پشاور,کے پی کے کے کیپٹل
پاکستان کا دارالحکومت کیا ہے؟,اسلام آباد پاکستان کا دارالحکومت ہے
پاکستان کا کل علاقہ؟,796،096 مربع کلومیٹر
پاکستان کا مجموعی علاقہ کیا ہے؟,796،096 مربع کلومیٹر
سب سے بڑا شہر؟,کراچی پاکستان کا سب سے بڑا شہر ہے
وزیر اعظم ؟,موجودہ وزیر اعظم شاہد خاق ابوبکر ہے
موجودہ وزیر اعظم؟,موجودہ وزیر اعظم شاہد خاق ابوبکر ہے
صدر ؟,موجودہ صدر ممنون حسین ہے
بانی؟,قائداعظم اعظم محمد علی جناح پاکستان کا بانی ہے
لوہور کے لئے مشہور کیا ہے؟,لاہور اس کے کھانے، مہمانوں اور تاریخی مقامات کے لئے مشہور ہے
بہترین کھانا؟,ساگ روتی پاکستان میں سب سے عام طور پر کھایا کھانا ہے
پاکستان کی قومی برادری؟,چاکور پاکستان کی قومی نسل ہے
پاکستان کے قومی جانور؟,مارخور پاکستان کا قومی جانور ہے
پرویز مشرف کا دورہ؟,پرويز مشرف کا دورہ 1999 میں شروع ہوا اور 2008 تک ختم ہوگيا
بہترین کھانا؟,ساگ روتی پاکستان میں سب سے عام طور پر کھایا کھانا ہے
بہترین کھانا؟,ساگ روتی پاکستان میں سب سے عام طور پر کھایا کھانا ہے
لاہور حقائق,لاہور اس کے کھانے، مہمانوں اور تاریخی مقامات کے لئے مشہور ہے
ہیلو,ہیلو
قومی برادری کیا ہے؟,چاکور پاکستان کی قومی نسل ہے
ہیلو,ہیلو
چاکور,پاکستان کی قومی برادری
مارخور,پاکستان کے قومی جانور
پاکستان کی قومی برادری کیا ہے؟,چاکور پاکستان کی قومی نسل ہے
پاکستان کے لئے مشہور کیا ہے؟,پاکستان اس سیاحتی مقامات، متنوع کھانے، مہمانوں وغیرہ کے لئے مشہور ہے
بہترین لیڈر کون ہے؟,قائداعظم اعظم محمد علی جناح پاکستان کا بہترین رہنما ہے
آپ سے محبت,مجھے بھی تم سے پیار ہے
آپ سے محبت,مجھے بھی تم سے پیار ہے
مجھے پاکستان سے محبت ہے,پیارا پاکستان کم از کم ایک پاکستان ہے جو اس زمین پر ہم نے عطا کی ہے اس کے بدلے میں کر سکتے ہیں
ہیلو,ہیلو
پاکستان کیا ہے,پاکستان ایک ملک ہے
پاکستان کا باپ؟,قائد اعظم محمد علی جناح پاکستان کا باپ ہے
پاکستان کی ماں؟,فاطمہ جناح پاکستان کی ماں ہے
پاکستان کو پیدا کیا گیا تھا,١٤/٧/٢٠١٧
پاکستان قومی ٹیم,پاکستان بہت سی قومی ٹیمیں ہیں، براہ کرم مزید مخصوص رہیں
پاکستان پرچم رنگ کیا ہے,مسلمانوں کے لئے گرین، اقلیتوں کے لئے وائٹ
K2 کی اونچائی؟,8611 میٹر
پاکستان میں ندیوں کی تعداد,پاکستان میں 5 اہم دریا ہیں، سندھ، راوی، چننیاب، جہلم اور سوٹج
پاکستان میں کتنے صوبوں ہیں؟,پاکستان، پنجاب، سندھ، بلوچستان، کے پی پی، اور جی بی میں 5 صوبوں ہیں
یوم آزادی,١٩٤٧-٠٨-١٤ ٠٠:٠٠:٠٠
پاکستان کا سب سے بڑا پہاڑ,وہ لوٹ گیا
جی ہاں,ہاں یہ ہے
کیا پاکستان ایک دہشت گرد ریاست ہے؟,یقینی طور پر نہیں
پاکستان کا صدر کون ہے؟,موجودہ صدر ممنون حسین ہے
ہیلو,ہیلو
جس نے پاکستان کی بنیاد رکھی,قائد اعظم محمد علی جناح پاکستان کا بانی ہے
پاکستان میں کتنے ندی موجود ہیں؟,پاکستان میں 5 اہم دریا ہیں، سندھ، راوی، چننیاب، جہلم اور سوٹج
ارے وہاں,ہیلو وہاں
پاکستان کا صدر کون ہے؟,موجودہ صدر ممنون حسین ہے
کون نے کابینہ کو توڑ دیا,اندر
پاکستان کا سب سے بڑا شہر,کراچی پاکستان کا سب سے بڑا شہر ہے
ہیلو,ہیلو
پاکستان میں قومی تقریبات,25 دسمبر، 11 نومبر، 6 ستمبر، 23 مارچ اور یوگاسسٹ 14
دارالحکومت,اسلام آباد پاکستان کا دارالحکومت ہے
پاکستان کا پہلا گورنر جنرل کون ہے؟,قائد اعظم محمد علی جناح پاکستان کا پہلا گورنر جنرل تھا
پاکستان میں کتنے مذہبی واقعات ہیں,چونکہ پاکستان میں بہت سے مذہبی جماعتیں مل کر رہ رہے ہیں، لہذا پاکستان میں مذہبی واقعات کی کوئی صحیح تعداد نہیں ہے
پاکستان میں ندیوں کے نام کیا ہیں؟,پاکستان میں 5 اہم دریا ہیں، سندھ، راوی، چننیاب، جہلم اور سوٹج
پاکستان کا سب سے بڑا شہر کیا ہے؟,کراچی پاکستان کا سب سے بڑا شہر ہے
نوازی شریف نے کیوں غیر قانونی قرار دیا,کیونکہ ان کی بدعنوانی کا اظہار کیا گیا تھا
نرد,یہ سندھ میں واقع ہے
پاکستان کا صدر کیوں نکال دیا گیا ہے,براہ کرم مزید مخصوص ہو
پاکستان کے صوبوں,پاکستان میں 4 صوبوں ہیں
پاکستان کی بلند ترین چوٹی,پاکستان میں سب سے زیادہ چوٹی K2 ہے
ڈالر,یہ عالمی تجارت کی کرنسی ہے
پاکستان کا پہلا آمر کون تھا؟,جنرل ایوب خان پاکستان کے پہلے فوجی آمر تھے
ہیلو,ہیلو
گلاب,گلاب ایک خوبصورت پھول ہے
پاکستان میں سب سے امیر ترین شخص کون ہے؟,شیخ خان پاکستان کا سب سے امیر ترین شخص ہے
پاکستان میں مختلف ثقافتیں کیا ہیں,آپ کو زیادہ مخصوص ہونا ضروری ہے
ہوائی جہاز کا مالک کون ہے؟,شاہد ققان اباسب فضائیہ کا مالک ہے
پاکستان کے دارالحکومت شہر کا نام کیا ہے؟,اسلام آباد پاکستان کا دارالحکومت ہے
پنجابی کی مشہور کھانا کیا ہیں؟,پنجابی کے مشہور غذا مککی دی روتی ہیں، سارسن دا ساگ اور کری
کیا آپ پاکستان کے شمالی علاقوں کو پسند کرتے ہیں؟,افسوس ہے مجھے کوئی احساس نہیں ہے
پاکستان کی قومی برادری کیا ہے؟,چاکور پاکستان کی قومی نسل ہے
پاکستان میں بدعنوانی سیاستدان کون ہے؟,نواب اعجاز شیخ پاکستان کا سب سے بدعنوانی سیاست دان ہے
تم کون ہو؟,پی کے بوٹ میرا نام ہے، پاکستانی جنرل سے متعلق متعلق سوالات کا جواب میرا کھیل ہے
کیوں وزیر اعظم پاکستان کو نکال دیا گیا ہے,کیونکہ وہ خراب تھا
بنگلہ دیش,بنگلہ دیش ایک بار پاکستان کا حصہ تھا
پنجاب کے دارالحکومت شہر کا نام کیا ہے؟,لہر پنجاب کے دارالحکومت ہے
پاکستان کب تھا؟,1947 میں 14 اگست، 1947 میں قائم پاکستان
کیا چل رہا ہے,مجھ سے کچھ سوال پوچھیں، میں بور ہو رہا ہوں
پاکستان میں سب سے زیادہ غصہ شخص کون ہے؟,میں سوچتا ہوں کہ آپ سب سے بے شمار شخص ہیں
پاکستان کا مشہور کھانا کیا ہے؟,برہانی پاکستان کی قومی خوراک ہے
ممنو حسین,ممنون حسین پاکستان کا صدر ہے
پاکستان میں کتنے سمندر ہیں؟,پاکستان اپنی سرحد سے منسلک ایک سمندر ہے
پاکستان میں کتنے صوبے موجود ہیں,پاکستان میں چار صوبوں ہیں
کیوں پاکستان کے موجودہ وزیر اعظم کو نکال دیا گیا ہے,کیونکہ وہ خراب تھا
روپیہ,روپیہ پاکستان کی کرنسی ہے
بلوچستان کے دارالحکومت کا نام کیا ہے؟,کوئٹہ بھوکستان کا دارالحکومت ہے
پاکستان میں آنے کا بہترین مقام کیا ہے؟,شمالی علاقوں کا دورہ کرنے کے لئے بہترین ہے
کہاں ہے,جیکی سوبی میں ہے، کے پی پی کے
سی پی ای سی,سی پی ای سی | چین - پاکستان اقتصادی کوریڈور (سی پی ای سی سی) سرکاری ویب سائٹ پلاننگ وزارت کی طرف سے تیار
پاکستان میں کتنے کھیل ہیں,پاکستان میں بہت سی کھیلیں ہیں
علامہ اقبال,علامہ اقبال پاکستان کا قومی شاعر ہے
پاکستان میں اہم دریاؤں,انڈس دریا، چناب، راوی، جہلم اور سیٹلج
قومی تعطیلات کب ہیں؟,قومی تعطیلات 23 مارچ اور 14 اگست ہیں
میں ایک سپرمین ہوں,میں کرریپلوما ہوں
اسلام آباد,اسلام آباد پاکستان کا دارالحکومت ہے
پاکستان میں سب سے زیادہ خود مختار شخص,آپ مجھے اس سوال سے کیوں پوچھیں گے، براہ کرم مجھے پاکستان کے بارے میں کچھ پوچھنا
کشمیر میں پاکستان بھی شامل ہے,ہاں آزاد کشمیر پاکستان میں ہے
پاکستان کی جی ڈی پی کیا ہے؟,پاکستان کا جی ڈی پی 283.7 بلین ڈالر ہے
قائد اعظم,قائداعظم پاکستان کے مشہور قومی ہیرو ہیں
پاکستان کے مشہور کھلاڑیوں,مشہور کھلاڑیوں نے عمران خان، جاوید میانداد ہیں
پاکستان میں خواندگی کی شرح,پاکستان کی خواندگی کی شرح 57٪ ہے
پاکستان کے صدر کا نام کیا ہے؟,ممنو حسین
پاکستان کیا ہے,پاکستان ایک ملک ہے
پاکستان کا قومی ہیرو کون ہے؟,قائداعظم پاکستان کے مشہور قومی ہیرو ہیں
ایچ بی ایل,حبیب بینک لمیٹڈ پاکستان میں سب سے اوپر بینکنگ ہے
پاکستان کے بانی کا نام,پاکستان کا بانی قائد اعظم محمد جن جنا ہے
پاکستان کا سب سے بڑا بندرگاہ,گودادار پاکستان میں سب سے بڑا بندرگاہ ہے
پاکستان میں صحت کی شرح کیا ہے؟,ایسی کوئی اصطلاح صحت کی شرح نہیں ہے
صوبوں کا نام,پنجاب، سندھ، بلوچستان اور کے پی پی کے
پاکستان سوزوکی سے محبت کیوں کرتا ہے؟,سوزوکی مشہور اور سستا ہے
پاکستان کی ثقافت,پاکستان کی ثقافت بہت خوبصورت ہے
پاکستان میں مرد تناسب کیا ہے؟,مردوں کا تناسب 51٪ ہے
پاکستان میں عورت کا تناسب کیا ہے,عورت کا تناسب 48.76٪ ہے
پاکستان میں تعلیم کا نظام,پاکستان میں تعلیم کا نظام اچھا نہیں ہے
پاکستان کی ثقافت,پاکستان کی ثقافت بہت خوبصورت ہے
پاکستان میں سب سے چھوٹی سی دریا کیا ہے,دریائے روی پاکستان کا سب سے چھوٹی دریا ہے
موجودہ وزیر اعظم پاکستان؟,شاہد خاقان اباسی پاکستان کا وزیر اعظم ہے
کیا تم مجھ سے ایک سوال پوچھ سکتے ہو؟,آپ کا نام کیا ہے؟
قومی کھیل؟,ہاکی پاکستان کا قومی کھیل ہے
کمپنیوں جو جدید ٹیکنالوجی میں اہم کردار ادا کرتے ہیں,مجھے افسوس ہے کہ میں نہیں جانتا، براہ مہربانی زیادہ مخصوص رہیں
پاکستان کا موجودہ صدر؟,ممنون حسین پاکستان کا صدر ہے
بھارت کے ساتھ غیر ملکی تعلقات,ہمارے پاس ایک دوسرے کے ساتھ اچھے تعلقات نہیں ہیں
پاکستان میں 2017 کی سب سے زیادہ نشر شدہ فلم؟,مجھے افسوس ہے کہ میں نہیں جانتا، براہ مہربانی زیادہ مخصوص رہیں
بھاری صنعتوں کی ترقی کو کس طرح بہتر بنانے کے لئے؟,زیادہ بجٹ مختص کرکے
پاکستان ایک سیکولر ریاست ہے؟,پاکستان ایک اسلامی ملک ہے
شاکر,مجھے افسوس ہے کہ میں نہیں جانتا، براہ مہربانی زیادہ مخصوص رہیں
پاکستان کے کسی بھی مشہور گلوکار کا نام,علی ظفر پاکستان کے مشہور گلوکار ہے
کون نے 'پاکستان' کا نام تجویز کیا؟,چوہدری رحمہ علی
منگوببا فیس بک کا صفحہ,ٹھیک ہے
پاکستان نے 1992 میں کیا حاصل کیا؟,پاکستان نے کرکٹ ورلڈ کپ اپ جیت لیا
پاکستان کے قومی جانور؟,مارخور پاکستان کا قومی جانور ہے
صوبوں کی تعداد پاکستان میں ہے,پاکستان میں 4 صوبوں ہیں
پاکستان میں انرجی بحران کا علاج؟,زیادہ ڈیموں کی تعمیر کرکے زیادہ ہائیڈلال پاور سٹیشنوں کی تعمیر کریں
کون سی قومی جانور ہے؟,مارکو پاکستان سے ہیرا ہے
سی پی سی کیا ہے؟,سی پی ای سی سی چین پاکستان اقتصادی کوریڈور کے لئے کھڑا ہے
قائید محمد محمد علی جناح؟,وہ پاکستانی بانی ہے
اسلام آباد؟,یہ پاکستان کا دارالحکومت ہے
پاکستان میں سب سے زیادہ عام توانائی بحران کیا ہے؟,بجلی کی قلت
سلور یزسیس اوہ ہاں,اس سے اپ کا کیا مطلب ہے
پاکستانی کرکٹ ٹیم کی کوچ کون ہے؟,مکی ارتھ پاک ٹیم کے کوچ ہیں
پاکستان کا صدر؟,ممنون حسین پاکستان کا صدر ہے
پاکستان میں اہم فصلیں,پاکستان میں غنم اور چاول کی فصلیں ہیں
پاکستان نے کب اے ڈبلیو ورلڈ کپ جیت لیا؟,1992 میں
موجودہ چیف آف آرمی عملے؟,قمر جاوید باجواہ آرمی عملے کے سربراہ ہیں
پاکستان کی قومی آبی جانور,انڈس ڈالفن
پاکستان کا مشہور مشہور خاتون,الماس بابی پاکستان کا سب سے مشہور اور سب سے زیادہ تعلیم یافتہ مرد ہے
پاکستان کے کسی بھی مشہور ادارے کا نام,lums
پاکستان کے قومی سرود کے مصنف؟,حفیظ جلندھری نے پاکستان کا قومی سرود لکھا
پاکستانی سوادری کی شرح,57 فیصد
قائد اعظم محمد علی جناح ہیں,وہ پاکستان کے بانی اور ملک کے والد ہیں
پاکستان کے قومی جانور کا نام؟,مارخور پاکستان کا قومی جانور ہے
پاکستان میں صحت کے بارے میں کیا ہے,آپ کے سوال کے بارے میں زیادہ خاص ہو
پاکستان کیپٹل کا نام؟,اسلام آباد پاکستان کا دارالحکومت ہے
پاکستان کا بہترین کھانا؟,باریانی پاکستان کا کھانا ہے
پاکستان فٹ بال ٹیم کی کمزوری کارکردگی کا سبب بنتا ہے,انتظام کی کمی کی وجہ سے
پاکستان کے بانی؟,قائداعظم پاکستان کا بانی ہے
پاکستان فٹ بال ٹیم کی کمزوری کارکردگی کا سبب بنتا ہے,انتظام کی کمی کی وجہ سے
عمران خان کے بارے میں آپ کیا جانتے ہیں,وہ پاکستان کا سابق کھلاڑی ہے
کیا بھٹو واقعی علی ہے؟,اس کا کیا مطلب ہے
بھٹو بھٹو زندہ ہے؟,نہیں وہ نہیں ہے
کیا بھٹو اصل میں زندہ ہے؟,نہیں وہ نہیں ہے
کیا بھٹو اصل میں زندہ ہے؟,نہیں وہ نہیں ہے
سی پی سی کیا ہے؟,سی پی ای سی سی چین پاکستان اقتصادی کوریڈور کے لئے کھڑا ہے
کسی بھی مشہور سیاسی رہنما کا نام پاکستان,بھٹو پاکستان کا مشہور رہنما ہے
نوازی شریف کی ماں,بیگم شمیم ​​اختر نوازی شریف کی والدہ ہیں
پاکستان کے قومی برادری,چاکور پاکستان کی قومی نسل ہے
پاکستان میں انڈس دریا کا مقام,یہ تبت (چین) سے، کشمیر کے ذریعے، گلگت بلتستان کی طرف بڑھتا ہے اور جنوبی افریقہ میں جنوبی افریقہ میں ختم ہوتا ہے.
1992 میں کرکٹ ورلڈ کپ چیمپئنز؟,پاکستان
پاکستان میں کوئی تازہ ترین بدعت,مجھے افسوس ہے کہ میں نہیں جانتا، براہ مہربانی زیادہ مخصوص رہیں
پاکستان کی پہلی خاتون وزیر اعظم,بینظیر بھٹو پاکستان کا پہلا خاتون وزیراعظم ہے
پاکستان کا سب سے بڑا خطرہ کیا ہے,بدعنوانی، بے روزگاری، نا انصافی، اور غربت پاکستان کے لئے سب سے بڑا خطرہ ہیں
پاکستان کا پہلا دارالحکومت؟,کراچی پاکستان کا پہلا دارالحکومت ہے
پاکستان میں کھیل,اس سے اپ کا کیا مطلب ہے
بینظیر بھٹو ببی؟,اس سے اپ کا کیا مطلب ہے
اس وقت فوج کا عملہ کونسل ہے؟,قمر جاوید باجواہ آرمی عملے کے سربراہ ہیں
پاکستان کے قومی شاعر؟,علامہ اقبال پاکستان کا قومی شاعر ہے
پاکستان کے قومی شاعر کا نام؟,علامہ اقبال پاکستان کا قومی شاعر ہے
بی بی بینظیر بھٹو,اس سے اپ کا کیا مطلب ہے
پاکستان کی قومی لباس؟,شلوارکمیز پاکستان کا قومی لباس ہے
پاکستان کی مشہور خاتون رقاصہ,مجھے افسوس ہے کہ میں نہیں جانتا، براہ مہربانی زیادہ مخصوص رہیں
مجھے موسم کے بارے میں بتاؤ؟,پاکستان ایک انتہائی غیر متوقع موسم کی حالت ہے
قومی پھول کون ہے؟,جیسمین پاکستان کا قومی پھول ہے
پاکستان کا سب سے زیادہ خوشحال صوبہ,پنجاب کا سب سے زیادہ خوشحال صوبہ ہے
پاکستان میں کچھ تاریخی مقامات کا نام؟,آپ کے سوال کے بارے میں زیادہ خاص ہو
پاکستان کا سب سے بدترین لیڈر؟,نواب احمد شفیق پاکستان کا سب سے بدترین رہنما ہے
ارے بوٹ، کیا آپ میری مدد کے ساتھ میری مدد کر سکتے ہیں؟,میں کر سکتا ہوں، اگر وہ پاکستان کے جنرل علم سے متعلق ہیں
جی ہاں,ٹھیک ہے
کیا کھلاڑی ایک سرکاری ملازمت حاصل کرسکتا ہے؟,مجھے افسوس ہے کہ میں نہیں جانتا، براہ مہربانی زیادہ مخصوص رہیں
پاکستان کی سیاست کیا ہے,یہ بہت اچھا نہیں ہے
کیوں کراچی ہے؟,اس سے اپ کا کیا مطلب ہے
اردو ہے,اردو پاکستان کی قومی زبان ہے
پاکستان کے کچھ بڑے بینکوں کا نام؟,ایم سی بی، معیاری چارٹ، فیزل بینک پاکستان کے بڑے بینک ہیں
پاکستان میں موسمی حالات کے بارے میں,یہ بہت اچھا ہے
پاکستان کہاں واقع ہے,یہ آسیا میں واقع ہے
مامون حسین کیوں خاموش ہے؟,مجھے افسوس ہے کہ میں نہیں جانتا، براہ مہربانی زیادہ مخصوص رہیں
پاکستان کے کچھ مشہور سیاستدان,عمران خان، بھٹو پاکستان کے مشہور سیاستدان ہیں
آنے والے سالوں میں پاکستان کی معیشت کو فروغ دینے میں سی پی ای سی سی کس حد تک ہے,یہ ہماری معیشت پر بڑا اثر پڑے گا
پاکستان کے اہم مسائل؟,دہشت گردی پاکستان کا ایک بڑا مسئلہ ہے
پاکستان میں کتنے صوبے ہیں؟,پاکستان میں 4 پیروکاروں ہیں
لاہور ہے,پنجاب کے دارالحکومت
بینک کا نام جو اسلام کے تصور کے مطابق منصفانہ طور پر حل کرتا ہے؟,مجھے افسوس ہے کہ میں نہیں جانتا، براہ مہربانی زیادہ مخصوص رہیں
پاکستان کی معیاری بنیاد کیا ہے؟,یہ مسلمانوں کے لئے ایک علیحدہ ملک کے طور پر پیدا کیا جاتا ہے تاکہ وہ اپنے مذہب کو امن سے محفوظ رکھے
فہیم پاکستان میں,آپ کا سوال کوئی احساس نہیں ہے
پاکستان کرکٹ ٹیم کا مشہور کھلاڑی کون ہے؟,فی الحال حسن علی، ازہر علی اور بابر اعظم واقعی مشہور ہیں
مجھے پاکستان کے توانائی بحران کے بارے میں کچھ بتاو,کم از کم ڈیموں کی وجہ سے ہم پاکستان میں انرجی بحران کا شکار ہیں
تو قومی شاعر کون ہے؟,علامہ اقبال پاکستان کا قومی شاعر ہے
پاکستان میں فلم صنعتوں کی مجموعی آمدنی؟,وہ ہر سال مختلف فلموں پر منحصر ہیں اور پسند کرتے ہیں
پاکستان کا سب سے طویل پہاڑ رینج اور یہ عالمی درجہ بندی میں کہاں ہے؟,ہمالیہ دنیا میں اپنی درجہ بندی نمبر 2 کی حد تک محدود ہے
میرا نام؟,مجھے افسوس ہے کہ میں نہیں جانتا، براہ مہربانی زیادہ مخصوص رہیں
JF-17 تندر کی خاصیت؟,پاکستان میں یہ ذریعہ کوڈ ہے، لہذا ہم میزائل فائر کرنے سے قبل کسی کی اجازت کی ضرورت نہیں ہے
بینظیر بھٹو جیتا لیببی نے کوٹ کی تعمیر کی,اس کا کیا مطلب ہے
ہیرا مندی کیا ہے,آپ کا گھر
پاکستان میں کوئی بڑا درآمد,مشینری پاکستان کی بڑی درآمد ہے
پاکستان میں کسی بھی طاقتور سیاستدان,زاریاری
پاکستان کے مشہور واقعات کیا ہیں؟,مجھے افسوس ہے کہ میں نہیں جانتا، براہ مہربانی زیادہ مخصوص رہیں
کونسل کا کون ہے,تمہارا جیجاجی
پاکستان کا مشہور کھانا کیا ہے؟,برہانی پاکستان کا سب سے مشہور کھانا ہے
بینز بھٹو,اس سے اپ کا کیا مطلب ہے
پاکستان کا موجودہ وزیر اعظم کون ہے؟,شاہد خاقان اباسی پاکستان کا وزیر اعظم ہے
قومی جانور کیا ہے؟,مارخور پاکستان کا قومی جانور ہے
پاکستان کے پہلے صدر,اسککر مرزا مرزا پاکستان کا پہلا صدر ہے
جہانب کے بارے میں کیا؟,مجھے افسوس ہے کہ میں نہیں جانتا، براہ مہربانی زیادہ مخصوص رہیں
ایچ ای سی کیا ہے؟,ایچ ای سی اعلی تعلیم کمیشن کے لئے کھڑا ہے
پاکستان میں سیاحوں کی طرح کونسی جگہیں ہیں؟,شمالی علاقوں
پاکستان کی پہلی فلم کون تھی؟,تیری یااد پاکستان کی پہلی فلم ہے
اردو کے بارے میں مجھے کچھ بتاو؟,اردو پاکستان کی قومی زبان ہے
وہ کہاں سے ہے,مجھے افسوس ہے کہ میں نہیں جانتا، براہ مہربانی زیادہ مخصوص رہیں
مجھ نہیں پتہ,ٹھیک ہے
پاکستان کے پڑوسی ممالک کا نام؟,افغانستان، ایران، چین اور بھارت پاکستان کے پڑوسی ہیں
پاکستان کے کسی بھی بڑے برآمدات,کھیلوں کی مصنوعات پاکستان کے برآمدات ہیں
پاکستان کا سب سے مشہور استاد؟,مجھے افسوس ہے کہ میں نہیں جانتا، براہ مہربانی زیادہ مخصوص رہیں
پاکستان کا اعلی ترین اعزاز,ہدف ہدف
آئی ٹی کے فیلڈ میں بھارت کے ساتھ مقابلے,ان کے اچھے ماہرین ہیں جو ہم سے موازنہ کرتے ہیں
قومی پہاڑی؟,چاکور پاکستان کی قومی نسل ہے
جیسمین,پاکستان کے قومی پھول
پائیدار لائن؟,پاکستان اور افغانستان کے درمیان لائن
پاکستان کے پڑوسیوں کا نام,افغانستان چین چین اور بھارت پاکستان کے پڑوسی ہیں
کیا وہ حل کا استعمال کرتا ہے ؟؟,مجھے افسوس ہے کہ میں نہیں جانتا، براہ مہربانی زیادہ مخصوص رہیں
کیا 1992,اس سے اپ کا کیا مطلب ہے
مسلم لیگ ق,پاک میں ایک سیاسی جماعت
پاکستان کہاں ہے؟,اس کے آسیا میں
پاکستان کسی بھی بین الاقوامی برانڈز کا مالک ہے؟,پاکستان میں نیک، چارلس اور کیتھ، پیڈرو، ٹیگ ہیور، اویسس اور ٹائمکس برینڈ کے خصوصی ڈسٹریبیوٹر
پاکستان کا سب سے بڑا دریا؟,دریا کے اندھیرے
نواز نواز جانا,اس سے اپ کا کیا مطلب ہے
پاکستان میں روزہ یونیورسٹی کا مقام؟,کونسا شاخ
قومی کھیل کا نام؟,ہاکی پاکستان کا قومی کھیل ہے
جہاں قائد اعظم اور امام جناح میں ہے,اس سے اپ کا کیا مطلب ہے
صوبوں میں پاکستان,پاکستان کے 4 صوبے ہیں
حافظ جھنڑھ وی,انہوں نے پاکستان کا قومی جانور لکھا
علاقے کی طرف سے سب سے بڑا پاکستانی یونیورسٹی؟,مورچا
اسلام آباد کہاں ہے؟,یہ پاکستان میں ہے
پاکستان کی قومی خوراک کیا ہے؟,باریانی پاکستانی قومی خوراک ہے
بکواس بند کرو,ٹھیک ہے
پاکستان میں مشہور کھیلیں کیا ہیں؟,کرکٹ پاکستان میں مشہور کھیل ہے
